,nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,val1,val2,val3,val4
7306,nm0007345,Jeppe Aakjær,1866,1930,"soundtrack,writer","tt0031326,tt0425235,tt0315232,tt0030381",tt0031326,tt0425235,tt0315232,tt0030381
7307,nm0007346,Liv Aakvik,1948,\N,actress,"tt0271315,tt0271289,tt0271312,tt0478952",tt0271315,tt0271289,tt0271312,tt0478952
7308,nm0007347,Andrea Aal,\N,\N,actress,"tt0088587,tt0088634,tt0073955,tt0103181",tt0088587,tt0088634,tt0073955,tt0103181
7309,nm0007348,Kitty Aal,\N,\N,camera_department,tt0243418,tt0243418,,,
7310,nm0007349,Steve Aalam,1968,\N,"actor,producer,writer","tt0120567,tt0482957,tt0929742,tt0847166",tt0120567,tt0482957,tt0929742,tt0847166
7311,nm0007350,Leyla Aalam,\N,\N,actress,"tt0120793,tt0493103",tt0120793,tt0493103,,
7312,nm0007351,Roxanne Aalam,\N,\N,actress,tt0090021,tt0090021,,,
7313,nm0007352,Schahla Aalam,\N,\N,actress,"tt0090982,tt0117076,tt0190122",tt0090982,tt0117076,tt0190122,
7314,nm0007353,Aalami,\N,\N,,tt0031874,tt0031874,,,
7315,nm0007354,Mohamad Reza Aalami,\N,\N,"director,writer,editor","tt0821752,tt1925494,tt0821811,tt1087643",tt0821752,tt1925494,tt0821811,tt1087643
7316,nm0007355,Saadia Aalami,\N,\N,miscellaneous,"tt0804522,tt8332438,tt0472062,tt0454841",tt0804522,tt8332438,tt0472062,tt0454841
7317,nm0007356,John Aalberg,1897,1984,"sound_department,music_department",tt8727784,tt8727784,,,
7318,nm0007357,Frank Aalbers,\N,\N,"visual_effects,animation_department","tt0120338,tt0910970,tt3606756,tt0120655",tt0120338,tt0910970,tt3606756,tt0120655
7319,nm0007358,George Aalbregise,\N,\N,actor,tt0128318,tt0128318,,,
7320,nm0007359,Aileene Aalbu,1909,1966,actress,tt0021568,tt0021568,,,
7321,nm0007360,Fern Aalbu,1912,1984,actress,tt0021568,tt0021568,,,
7322,nm0007361,Harriet Aalbu,1913,1975,actress,tt0021568,tt0021568,,,
7323,nm0007362,Lorraine Aalbu,1905,1991,actress,tt0021568,tt0021568,,,
7324,nm0007363,Mariann Aalda,1948,\N,"actress,director,producer","tt0101187,tt4801608,tt0086660,tt0103978",tt0101187,tt4801608,tt0086660,tt0103978
7325,nm0007364,Joan Aalestrup,\N,\N,make_up_department,tt0124192,tt0124192,,,
7326,nm0007365,Preben Aalholt,1937,2004,actor,"tt0280124,tt0109379",tt0280124,tt0109379,,
7327,nm0007366,Jefri Aalmuhammed,\N,\N,"director,writer,miscellaneous","tt0104797,tt0109339",tt0104797,tt0109339,,
7328,nm0007367,Rostislav Aalto,1971,\N,"editor,cinematographer,sound_department","tt1173528,tt2025607,tt1173516,tt0341313",tt1173528,tt2025607,tt1173516,tt0341313
7329,nm0007368,Anu Aalto,\N,\N,"art_department,set_decorator,actress","tt0280285,tt0110832,tt0300730,tt0328132",tt0280285,tt0110832,tt0300730,tt0328132
7330,nm0007369,Elina Aalto,\N,\N,actress,"tt0438732,tt0275868",tt0438732,tt0275868,,
7331,nm0007370,Inkeri Aalto,1923,\N,actress,"tt1629428,tt0042631,tt0133116",tt1629428,tt0042631,tt0133116,
7332,nm0007371,Janne Aalto,\N,\N,"actress,music_department","tt0127636,tt7317310,tt9148618",tt0127636,tt7317310,tt9148618,
7333,nm0007372,Jussi Aalto,1945,\N,"camera_department,actor,cinematographer","tt0093325,tt0134990,tt0078186,tt0060613",tt0093325,tt0134990,tt0078186,tt0060613
7334,nm0007373,Kati Aalto,\N,\N,"make_up_department,actress","tt0328432,tt0195499,tt12285946,tt1163814",tt0328432,tt0195499,tt12285946,tt1163814
7335,nm0007374,Keijo Aalto,\N,\N,actor,tt0116941,tt0116941,,,
7336,nm0007375,Petri Aalto,\N,\N,actor,"tt0099931,tt0138903,tt0104588,tt0127636",tt0099931,tt0138903,tt0104588,tt0127636
7337,nm0007376,Teemu Aalto,1986,\N,"actor,cinematographer,producer",tt0279161,tt0279161,,,
7338,nm0007377,Teukka Aalto,\N,\N,"composer,stunts",tt0281078,tt0281078,,,
7339,nm0007378,Aino Aaltonen,\N,\N,"actress,art_department","tt1188992,tt0107231,tt1016746,tt1582455",tt1188992,tt0107231,tt1016746,tt1582455
7340,nm0007379,Elin Aaltonen,\N,\N,actress,"tt0122293,tt0132676,tt0056094,tt0056356",tt0122293,tt0132676,tt0056094,tt0056356
7341,nm0007380,Erkki Aaltonen,1910,1990,"actor,composer,soundtrack","tt1620494,tt0050787,tt1464243",tt1620494,tt0050787,tt1464243,
7342,nm0007381,Frans Aaltonen,\N,\N,cinematographer,tt0121839,tt0121839,,,
7343,nm0007382,Henna Aaltonen,\N,\N,"camera_department,costume_department","tt0127591,tt1303758,tt0158717,tt0194027",tt0127591,tt1303758,tt0158717,tt0194027
7344,nm0007383,Irma Aaltonen,1934,\N,"costume_department,costume_designer,actress","tt0091755,tt0091412,tt0397803,tt0089427",tt0091755,tt0091412,tt0397803,tt0089427
7345,nm0007384,Jatta Aaltonen,\N,\N,actress,tt0104419,tt0104419,,,
7346,nm0007385,Jouko Aaltonen,1956,\N,"producer,director,writer","tt1703110,tt1673431,tt0782690,tt1697951",tt1703110,tt1673431,tt0782690,tt1697951
7347,nm0007386,Jukka Aaltonen,\N,\N,actor,"tt0413361,tt0159168,tt0099931",tt0413361,tt0159168,tt0099931,
7348,nm0007387,Kosti Aaltonen,1900,1957,"actor,art_director,art_department","tt0044151,tt0123288,tt0030348,tt7330448",tt0044151,tt0123288,tt0030348,tt7330448
7349,nm0007388,Leif Aaltonen,\N,\N,actor,tt0055300,tt0055300,,,
7350,nm0007389,Maarit Aaltonen,\N,\N,actress,tt0142633,tt0142633,,,
7351,nm0007390,Markus Aaltonen,\N,\N,actor,tt0099029,tt0099029,,,
7352,nm0007391,Mia Aaltonen,\N,\N,make_up_department,"tt0047166,tt0121752,tt0133202,tt0139677",tt0047166,tt0121752,tt0133202,tt0139677
7353,nm0007392,Minna Aaltonen,1966,\N,"actress,miscellaneous","tt0116752,tt0115243,tt0100390,tt1886726",tt0116752,tt0115243,tt0100390,tt1886726
7354,nm0007393,Olavi Aaltonen,\N,\N,"camera_department,cinematographer","tt0134125,tt0055606,tt0051931,tt0133017",tt0134125,tt0055606,tt0051931,tt0133017
7355,nm0007394,Ossi Aaltonen,\N,\N,"actor,composer",tt0115212,tt0115212,,,
7356,nm0007395,Remu Aaltonen,1948,\N,"soundtrack,actor,composer","tt0142966,tt0246005,tt0189041,tt0116656",tt0142966,tt0246005,tt0189041,tt0116656
7357,nm0007396,Risto Aaltonen,1939,\N,"actor,director","tt1452594,tt0490335,tt1454155,tt1480709",tt1452594,tt0490335,tt1454155,tt1480709
7358,nm0007397,Seppo Aaltonen,\N,\N,writer,tt0121853,tt0121853,,,
7359,nm0007398,Toini Aaltonen,1906,1983,writer,"tt1431333,tt0038791,tt1449213,tt0133151",tt1431333,tt0038791,tt1449213,tt0133151
7360,nm0007399,Veikko Aaltonen,1955,\N,"director,writer,script_department","tt0107231,tt0459494,tt0170223,tt0105651",tt0107231,tt0459494,tt0170223,tt0105651
